Drug Name,ATC 1st Level
valsartan,C - Cardiovascular system
mirvetuximab soravtansine,L - Antineoplastic and immunomodulating agents
bosutinib 400 MG,L - Antineoplastic and immunomodulating agents
paritaprevir,J - Antiinfectives for systemic use
furmonertinib combined with anlotinib,
coal tar,D - Dermatologicals
aluminum chloride,D - Dermatologicals
Recombinant herpes zoster vaccine with low-dose adjuvant,
valrubicin,L - Antineoplastic and immunomodulating agents
mirtazapine 7.5 MG,N - Nervous system
bosutinib,L - Antineoplastic and immunomodulating agents
paricalcitol,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
furmonertinib,
cmFOLFOXIRI plus PD-1 inhibitor,
aluminum,
Recombinant herpes zoster vaccine with high-dose adjuvant,
valproic acid Oral Solution,N - Nervous system
mirtazapine 45 MG,N - Nervous system
bosentan 62.5 MG,C - Cardiovascular system
parathyroid hormone,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
furazolidone,G - Genito urinary system and sex hormones
clozapine 50 MG,N - Nervous system
altrenogest,
Recombinant coagulation factor IX,B - Blood and blood forming organs
valproic acid,N - Nervous system
mirtazapine 30 MG,N - Nervous system
bosentan 125 MG,C - Cardiovascular system
parainfluenza virus type,J - Antiinfectives for systemic use
fumaric acid,D - Dermatologicals
clozapine 200 MG,N - Nervous system
alteplase 50 MG,S - Sensory organs
alteplase 50 MG,B - Blood and blood forming organs
Recombinant Zoster Vaccine (CHO cell) (Adjuvant control),J - Antiinfectives for systemic use
valproate,N - Nervous system
mirtazapine 15 MG,N - Nervous system
bosentan,C - Cardiovascular system
paraffin,
fulvic acid,
clozapine,N - Nervous system
alteplase 100 MG,S - Sensory organs
alteplase 100 MG,B - Blood and blood forming organs
Recombinant Zoster Vaccine (CHO cell),J - Antiinfectives for systemic use
valoctocogene roxaparvovec,B - Blood and blood forming organs
mirtazapine,N - Nervous system
bortezomib Injection,L - Antineoplastic and immunomodulating agents
"paracetamol, tramadol, and ondansetron",N - Nervous system
fulvestrant,L - Antineoplastic and immunomodulating agents
clove oil,
alteplase,S - Sensory organs
alteplase,B - Blood and blood forming organs
Recombinant Zoster Vaccine (CHO Cell),J - Antiinfectives for systemic use
valine,B - Blood and blood forming organs
mirikizumab,L - Antineoplastic and immunomodulating agents
bortezomib 1 MG,L - Antineoplastic and immunomodulating agents
paracetamol,N - Nervous system
paracetamol,R - Respiratory system
fu ling,
clove allergenic extract,
altSonflex1-2-3 Dose C,
Recombinant Trivalent Poliomyelitis Vaccine (Sf-RVN Cell) (VLP-Polio) low adjuvant dose,
valganciclovir hydrochloride,J - Antiinfectives for systemic use
mirdametinib,L - Antineoplastic and immunomodulating agents
bortezomib,L - Antineoplastic and immunomodulating agents
papaya allergenic extract,
fruquintinib 5 MG,L - Antineoplastic and immunomodulating agents
clotrimazole 10 MG,D - Dermatologicals
clotrimazole 10 MG,G - Genito urinary system and sex hormones
clotrimazole 10 MG,A - Alimentary tract and metabolism
altSonflex1-2-3 Dose B,
Recombinant Luteinizing Hormone (rLH),
valganciclovir,J - Antiinfectives for systemic use
mirabegron 50 MG,G - Genito urinary system and sex hormones
boron nitride,
papaverine hydrochloride,G - Genito urinary system and sex hormones
papaverine hydrochloride,A - Alimentary tract and metabolism
fruquintinib + tislelizumab + FOLFOX,L - Antineoplastic and immunomodulating agents
clotrimazole,D - Dermatologicals
clotrimazole,G - Genito urinary system and sex hormones
clotrimazole,A - Alimentary tract and metabolism
altSonflex1-2-3 Dose A,
Recombinant Humanized Monoclonal Antibody MIL62 Injection,
valerian root extract,N - Nervous system
mirabegron 25 MG,G - Genito urinary system and sex hormones
boron citrate,
papaverine Injection,G - Genito urinary system and sex hormones
papaverine Injection,A - Alimentary tract and metabolism
fruquintinib,L - Antineoplastic and immunomodulating agents
clopidogrel bisulfate,B - Blood and blood forming organs
alrizomadlin,
Recombinant Humanized Anti-interleukin-6 Receptor Monoclonal Antibody Injection,
valemetostat tosylate,B - Blood and blood forming organs
mirabegron,G - Genito urinary system and sex hormones
boron,A - Alimentary tract and metabolism
papaverine,G - Genito urinary system and sex hormones
papaverine,A - Alimentary tract and metabolism
fructose,V - Various
fructose,A - Alimentary tract and metabolism
clopidogrel 75 MG,B - Blood and blood forming organs
alprostadil Injection,G - Genito urinary system and sex hormones
alprostadil Injection,C - Cardiovascular system
Recombinant Human Papillomavirus,
valbenazine,N - Nervous system
mipomersen,C - Cardiovascular system
borneol,
papain / urea,D - Dermatologicals
papain / urea,B - Blood and blood forming organs
fructooligosaccharide,
clopidogrel 300 MG,B - Blood and blood forming organs
alprostadil,G - Genito urinary system and sex hormones
alprostadil,C - Cardiovascular system
Recombinant Human Interferon α2b,L - Antineoplastic and immunomodulating agents
valacyclovir 500 MG,J - Antiinfectives for systemic use
mint extract,
boric acid,S - Sensory organs
boric acid,D - Dermatologicals
papain,
frovatriptan,N - Nervous system
clopidogrel,B - Blood and blood forming organs
alprazolam 1 MG,N - Nervous system
Recombinant Herpes Zoster Vaccine (SCTV04C) Low-Dose,
valacyclovir 1000 MG,J - Antiinfectives for systemic use
minoxidil Topical Solution,D - Dermatologicals
minoxidil Topical Solution,C - Cardiovascular system
borage oil,
pantothenic acid,B - Blood and blood forming organs
pantothenic acid,A - Alimentary tract and metabolism
fremanezumab,N - Nervous system
clonidine,S - Sensory organs
clonidine,N - Nervous system
clonidine,C - Cardiovascular system
alprazolam,N - Nervous system
Recombinant Herpes Zoster Vaccine (SCTV04C) High-Dose,
valacyclovir,J - Antiinfectives for systemic use
minoxidil 2.5 MG,D - Dermatologicals
minoxidil 2.5 MG,C - Cardiovascular system
blueberry extract,
pantothenate,B - Blood and blood forming organs
pantothenate,D - Dermatologicals
pantothenate,A - Alimentary tract and metabolism
freezedried autologous encapsulated fecal microbiota transplantation,
clonazepam 2 MG,N - Nervous system
alpha-pinene,
Recombinant Granulocyte Colony-Stimulating Factor,
vadadustat,B - Blood and blood forming organs
minoxidil + finasteride,
blue crab preparation,
pantoprazole sodium,A - Alimentary tract and metabolism
frankincense oil,
clonazepam 0.25 MG,N - Nervous system
alpha-cyclodextrin,
Recombinant Follicle-Stimulating Hormone (rFSH),
vaccinia virus,
minoxidil,D - Dermatologicals
minoxidil,C - Cardiovascular system
blood withdrawal,
pantoprazole 40 MG,A - Alimentary tract and metabolism
frankincense extract,
clonazepam,N - Nervous system
"alpha-bisabolol, (+)-",
Recombinant Activated Factor VII,B - Blood and blood forming organs
vaccination with,
minocycline hydrochloride,J - Antiinfectives for systemic use
minocycline hydrochloride,D - Dermatologicals
minocycline hydrochloride,A - Alimentary tract and metabolism
blood test,
pantoprazole,A - Alimentary tract and metabolism
fostemsavir 600 MG,J - Antiinfectives for systemic use
clomipramine,N - Nervous system
alpha-arbutin,
Reclast,M - Musculo-skeletal system
vaborbactam,J - Antiinfectives for systemic use
minocycline combined with hydroxychloroquine,"P - Antiparasitic products, insecticides and repellents"
blood sampling,
panthenol,D - Dermatologicals
fostemsavir,J - Antiinfectives for systemic use
clomiphene citrate 50 MG,G - Genito urinary system and sex hormones
alpha tocopherol,B - Blood and blood forming organs
alpha tocopherol,A - Alimentary tract and metabolism
Recaticimab (intensive),
ustekinumab,L - Antineoplastic and immunomodulating agents
minocycline 50 MG,J - Antiinfectives for systemic use
minocycline 50 MG,D - Dermatologicals
minocycline 50 MG,A - Alimentary tract and metabolism
blood sample,
pantethine,A - Alimentary tract and metabolism
fostamatinib 150 MG,B - Blood and blood forming organs
clomiphene citrate,G - Genito urinary system and sex hormones
alpha receptor antagonist,
Rebyota,
use of combination of recombinant FSH and recombinant LH,
minocycline 40 MG,J - Antiinfectives for systemic use
minocycline 40 MG,D - Dermatologicals
minocycline 40 MG,A - Alimentary tract and metabolism
blinatumomab,L - Antineoplastic and immunomodulating agents
panobinostat,L - Antineoplastic and immunomodulating agents
fostamatinib,B - Blood and blood forming organs
clomiphene,G - Genito urinary system and sex hormones
alpha hydroxy acids,
Rebif,L - Antineoplastic and immunomodulating agents
use of adapalene gel,D - Dermatologicals
minocycline 100 MG,J - Antiinfectives for systemic use
minocycline 100 MG,D - Dermatologicals
minocycline 100 MG,A - Alimentary tract and metabolism
bleomycin sulfate,L - Antineoplastic and immunomodulating agents
panitumumab,L - Antineoplastic and immunomodulating agents
fosphenytoin,N - Nervous system
clofarabine,L - Antineoplastic and immunomodulating agents
alpha 1-antitrypsin,B - Blood and blood forming organs
Reamberin,
"use Amiodarone, Bisoprolol and Digoxin",
minocycline,J - Antiinfectives for systemic use
minocycline,D - Dermatologicals
minocycline,A - Alimentary tract and metabolism
bleomycin Injection,L - Antineoplastic and immunomodulating agents
pancuronium,M - Musculo-skeletal system
fosfomycin,S - Sensory organs
fosfomycin,J - Antiinfectives for systemic use
clodronate disodium,M - Musculo-skeletal system
alpelisib,L - Antineoplastic and immunomodulating agents
Ravicti,A - Alimentary tract and metabolism
ursodiol,A - Alimentary tract and metabolism
"mineral oil, light",S - Sensory organs
bleomycin,L - Antineoplastic and immunomodulating agents
pancreatin,
fosdenopterin,A - Alimentary tract and metabolism
clobetasol propionate,D - Dermatologicals
alosetron,A - Alimentary tract and metabolism
Ravagalimab,
ursodeoxycholic acid (UDCA),A - Alimentary tract and metabolism
mineral oil,S - Sensory organs
mineral oil,A - Alimentary tract and metabolism
blackberry allergenic extract,
pamidronate disodium,M - Musculo-skeletal system
foscarnet,J - Antiinfectives for systemic use
clobetasol,D - Dermatologicals
alogliptin 25 MG,A - Alimentary tract and metabolism
Rasagiline,N - Nervous system
ursodeoxycholate,A - Alimentary tract and metabolism
mimic capsules,
black walnut allergenic extract,V - Various
pamidronate,M - Musculo-skeletal system
fosaprepitant 150 MG,A - Alimentary tract and metabolism
clobazam,N - Nervous system
alogliptin / metformin,A - Alimentary tract and metabolism
Rapiblyk,C - Cardiovascular system
uridine triacetate,A - Alimentary tract and metabolism
miltefosine,"P - Antiparasitic products, insecticides and repellents"
black pepper allergenic extract,V - Various
palovarotene,M - Musculo-skeletal system
fosaprepitant,A - Alimentary tract and metabolism
clioquinol,S - Sensory organs
clioquinol,D - Dermatologicals
clioquinol,G - Genito urinary system and sex hormones
clioquinol,"P - Antiparasitic products, insecticides and repellents"
alogliptin,A - Alimentary tract and metabolism
Raphanus sativa extract,
uridine,
milrinone,C - Cardiovascular system
black olive allergenic extract,V - Various
palonosetron Injection,A - Alimentary tract and metabolism
fosamprenavir calcium,J - Antiinfectives for systemic use
clindamycin hydrochloride,D - Dermatologicals
clindamycin hydrochloride,G - Genito urinary system and sex hormones
clindamycin hydrochloride,J - Antiinfectives for systemic use
aloe vera leaf extract,
Rapcabtagene autoleucel,
uric-acid-lowering drug,
milnacipran,N - Nervous system
black currant preparation,
palonosetron 0.5 MG,A - Alimentary tract and metabolism
fosamprenavir,J - Antiinfectives for systemic use
clindamycin Injection,D - Dermatologicals
clindamycin Injection,G - Genito urinary system and sex hormones
clindamycin Injection,J - Antiinfectives for systemic use
aloe polysaccharide,D - Dermatologicals
Rapamycin,L - Antineoplastic and immunomodulating agents
Rapamycin,S - Sensory organs
urea,V - Various
urea,D - Dermatologicals
urea,B - Blood and blood forming organs
milk thistle seed extract,
black cohosh extract,G - Genito urinary system and sex hormones
palonosetron 0.25 MG,A - Alimentary tract and metabolism
formoterol fumarate,R - Respiratory system
clindamycin 300 MG,D - Dermatologicals
clindamycin 300 MG,G - Genito urinary system and sex hormones
clindamycin 300 MG,J - Antiinfectives for systemic use
aloe extract,
Rapamune,L - Antineoplastic and immunomodulating agents
Rapamune,S - Sensory organs
upadacitinib Oral Product,L - Antineoplastic and immunomodulating agents
"milk fat, cow",
bivalirudin,B - Blood and blood forming organs
palonosetron,A - Alimentary tract and metabolism
formoterol / glycopyrronium,D - Dermatologicals
formoterol / glycopyrronium,R - Respiratory system
clindamycin 25 MG,D - Dermatologicals
clindamycin 25 MG,G - Genito urinary system and sex hormones
clindamycin 25 MG,J - Antiinfectives for systemic use
almotriptan,N - Nervous system
Ranquilon,
upadacitinib 45 MG,L - Antineoplastic and immunomodulating agents
milbemycin oxime,
bisoprolol fumarate 5 MG,C - Cardiovascular system
palmitoyl tetrapeptide-7,
formoterol,R - Respiratory system
clindamycin / tretinoin,L - Antineoplastic and immunomodulating agents
clindamycin / tretinoin,D - Dermatologicals
clindamycin / tretinoin,G - Genito urinary system and sex hormones
clindamycin / tretinoin,J - Antiinfectives for systemic use
almond oil,
Ranibizumab Control,S - Sensory organs
upadacitinib 30 MG,L - Antineoplastic and immunomodulating agents
miglustat,A - Alimentary tract and metabolism
bisoprolol fumarate,C - Cardiovascular system
palmitoyl pentapeptide-4,
formic acid,B - Blood and blood forming organs
formic acid,A - Alimentary tract and metabolism
clindamycin,D - Dermatologicals
clindamycin,G - Genito urinary system and sex hormones
clindamycin,J - Antiinfectives for systemic use
almond allergenic extract,V - Various
Raludotatug Deruxtecan,
upadacitinib 15 MG,L - Antineoplastic and immunomodulating agents
miglitol,A - Alimentary tract and metabolism
bisoprolol,C - Cardiovascular system
palmitoleic acid,
formaldehyde,
clidinium,A - Alimentary tract and metabolism
allopurinol 100 MG,M - Musculo-skeletal system
Raltitrexed,L - Antineoplastic and immunomodulating agents
upadacitinib,L - Antineoplastic and immunomodulating agents
migalastat HCl,A - Alimentary tract and metabolism
bismuth subsalicylate 17.5 MG/ML,A - Alimentary tract and metabolism
